player,season_end_year,age,position_group_model,comp,target_market_value,predicted_log_value,expected_market_value_raw,undervaluation_raw
Kelvin Yeboah,2024,24.0,FW,Ligue 1,4000000.0,14.850631626694831,2815446.07759463,-1184553.92240537
Georges Mikautadze,2022,20.0,FW,Ligue 1,2200000.0,13.830823382309436,1015429.6663696133,-1184570.3336303867
Charalambos Lykogiannis,2022,27.0,DF,Serie A,2200000.0,13.82932054291001,1013904.7832710058,-1186095.2167289942
Gerson Rodrigues,2022,26.0,FW,Ligue 1,2500000.0,14.087999579265649,1313228.0412874743,-1186771.9587125257
Anthony Caci,2025,27.0,DF,Bundesliga,7000000.0,15.575573154308902,5812800.243124538,-1187199.756875462
Morgan Sanson,2022,26.0,MF,Premier League,10000000.0,15.991619869019004,8811953.901309555,-1188046.0986904446
Valentin Gendrey,2023,22.0,DF,Serie A,4000000.0,14.849345644090231,2811827.788655635,-1188172.211344365
Anthony Martial,2024,28.0,FW,Premier League,9000000.0,15.871139281456768,7811746.758327022,-1188253.2416729778
Ayanda Sishuba,2025,19.0,FW,Ligue 1,2000000.0,13.606683117664822,811534.2618433923,-1188465.7381566078
Denis Vavro,2025,28.0,DF,Bundesliga,5000000.0,15.15344583297709,3811165.365675647,-1188834.6343243532
Antoine Bernede,2025,25.0,MF,Serie A,3500000.0,14.652935603168828,2310409.109150016,-1189590.8908499838
Patrick Burner,2021,24.0,DF,Ligue 1,2000000.0,13.60281702261622,808402.8464609233,-1191597.1535390767
Filippo Ranocchia,2022,20.0,MF,Serie A,1800000.0,13.317711697102188,607866.1884893466,-1192133.8115106532
Akim Zedadka,2025,29.0,DF,Ligue 1,1500000.0,12.637028699720407,307744.58556524443,-1192255.4144347557
Joe Rodon,2022,23.0,DF,Premier League,8000000.0,15.733153366360911,6804898.098203351,-1195101.9017966492
RubÃ©n YÃ¡Ã±ez,2022,27.0,GK,La Liga,1500000.0,12.613119377075632,300473.86245899525,-1199526.1375410047
Jerry St. Juste,2020,22.0,DF,Bundesliga,7000000.0,15.573107849343813,5798487.565165854,-1201512.434834146
Bamba Dieng,2022,21.0,FW,Ligue 1,10000000.0,15.989960671276373,8797345.248302573,-1202654.7516974267
Joseph Aidoo,2024,28.0,DF,La Liga,4000000.0,14.84343956006867,2795269.8360362328,-1204730.1639637672
Brandon Soppy,2023,20.0,DF,Serie A,9000000.0,15.868996833318127,7795028.409375337,-1204971.590624663
Jack Hendry,2023,27.0,DF,Serie A,3000000.0,14.400322190152263,1794651.898958679,-1205348.101041321
Ebrima Darboe,2023,21.0,MF,Serie A,1800000.0,13.295558140348872,594547.8373485918,-1205452.1626514082
Dimitry Bertaud,2023,24.0,GK,Ligue 1,1500000.0,12.591984663900579,294190.0496163256,-1205809.9503836744
Kenny Tete,2020,23.0,DF,Ligue 1,5500000.0,15.272313068328446,4292212.255874657,-1207787.744125343
Joseba ZaldÃºa,2023,30.0,DF,La Liga,2500000.0,14.0715704005613,1291829.0320906756,-1208170.9679093244
SaÅ¡a LukiÄ,2025,27.0,MF,Premier League,10000000.0,15.989143368632996,8790158.091400377,-1209841.9085996225
Luis Rioja,2025,30.0,FW,La Liga,2000000.0,13.578484607445002,788969.8135496475,-1211030.1864503524
Ante Budimir,2022,30.0,FW,La Liga,6000000.0,15.38136304324408,4786752.834229591,-1213247.1657704087
Robin Olsen,2022,31.0,GK,Premier League,2000000.0,13.57096811672622,783061.7535073729,-1216938.246492627
Emil Audero,2024,27.0,GK,Serie A,5000000.0,15.145964206604116,3782758.041881435,-1217241.958118565
Mohamed Fares,2021,24.0,DF,Serie A,5500000.0,15.269833696809073,4281583.446401571,-1218416.553598429
Dimitris Nikolaou,2022,22.0,DF,Serie A,4000000.0,14.838252591821645,2780808.3929143273,-1219191.6070856727
Amir Rrahmani,2025,30.0,DF,Serie A,12000000.0,16.1932629100509,10780643.518876871,-1219356.481123129
